Data;Salário mínimo real - R$ - Instituto  de Pesquisa Econômica Aplicada(IPEA) - GAC12_SALMINRE12;
1957.11;1101,2060326298;
1957.12;1096,32180252943;
1958.01;1073,61149455855;
1958.02;1051,47879686314;
1958.03;1030,90125223412;
1958.04;1018,16197820461;
1958.05;1005,73370992606;
1958.06;993,605195798934;
1958.07;984,171272040965;
1958.08;974,914806800289;
1958.09;965,830839559288;
1958.10;952,376764437982;
1958.11;939,292371591275;
1958.12;926,829882669095;
1959.01;1393,48033502093;
1959.02;1329,92448225719;
1959.03;1272,2321714672;
1959.04;1250,28632326545;
1959.05;1229,08476255116;
1959.06;1208,59025722039;
1959.07;1193,80279995557;
1959.08;1179,37282654839;
1959.09;1165,28752866587;
1959.10;1139,63654533046;
1959.11;1114,8455064406;
1959.12;1091,34478378387;
1960.01;1052,40860813341;
1960.02;1016,15499695798;
1960.03;981,365938067928;
1960.04;966,411790440227;
1960.05;951,906547806977;
1960.06;937,656976494399;
1960.07;926,188736730776;
1960.08;914,997637477221;
1960.09;903,912684805129;
1960.10;1413,03029411626;
1960.11;1381,29301339083;
1960.12;1350,95008149408;
1961.01;1299,27321378008;
1961.02;1251,59713840547;
1961.03;1207,11658582869;
1961.04;1180,26447218638;
1961.05;1154,74524035532;
1961.06;1130,14882913795;
1961.07;1112,18783938867;
1961.08;1094,64118658278;
1961.09;1077,63959109225;
1961.10;1448,50913275262;
1961.11;1392,76993328151;
1961.12;1341,16151234093;
1962.01;1255,52393455337;
1962.02;1180,16642321673;
1962.03;1113,34273663569;
1962.04;1077,25143654759;
1962.05;1043,42661178636;
1962.06;1011,66126540654;
1962.07;985,946270111658;
1962.08;961,506146833932;
1962.09;938,325846728623;
1962.10;910,438408681974;
1962.11;903,202944892083;
1962.12;859,422463367898;
1963.01;1246,86256490234;
1963.02;1163,68392197505;
1963.03;1090,84198349648;
1963.04;1055,06604772974;
1963.05;1021,56225331296;
1963.06;990,120805650359;
1963.07;956,263686017188;
1963.08;924,645490723207;
1963.09;895,051242406209;
1963.10;860,776376603936;
1963.11;829,068427533461;
1963.12;799,50549949751;
1964.01;740,155745637679;
1964.02;1300,03416298834;
1964.03;1232,15491927034;
1964.04;1258,48245273656;
1964.05;1218,41686845787;
1964.06;1182,00263915461;
1964.07;1137,62879332068;
1964.08;1096,46609547956;
1964.09;1057,26462546673;
1964.10;1008,85221277918;
1964.11;964,653103150133;
1964.12;923,659548481923;
1965.01;859,214546962101;
1965.02;803,175858763844;
1965.03;1185,20845415964;
1965.04;1136,3415909501;
1965.05;1091,34478378387;
1965.06;1049,85479491955;
1965.07;1013,36893811823;
1965.08;979,333910611412;
1965.09;946,707166812375;
1965.10;917,358902296642;
1965.11;889,761353494191;
1965.12;864,511685764877;
1966.01;824,912511793827;
1966.02;962,170386288424;
1966.03;911,932169471888;
1966.04;926,055911729093;
1966.05;892,554429360366;
1966.06;860,411442036904;
1966.07;833,729668854028;
1966.08;808,652951392396;
1966.09;785,891888932174;
1966.10;766,720276732798;
1966.11;748,469648662374;
1966.12;730,766829532172;
1967.01;710,312665973566;
1967.02;697,068367000556;
1967.03;802,987601134217;
1967.04;827,484466418415;
1967.05;807,173484060872;
1967.06;790,641881092573;
1967.07;780,220415173075;
1967.08;770,070106215923;
1967.09;760,831904427557;
1967.10;751,17667721401;
1967.11;742,383639186421;
1967.12;734,401019410223;
1968.01;714,312817752984;
1968.02;846,917287758282;
1968.03;802,69683061846;
1968.04;827,72731900243;
1968.05;814,198343506105;
1968.06;799,351546578569;
1968.07;782,234811105794;
1968.08;770,682820224485;
1968.09;759,467061926;
1968.10;748,06209580834;
1968.11;736,994600107073;
1968.12;726,249814684703;
1969.01;708,41045272089;
1969.02;700,26260086851;
1969.03;691,426479721904;
1969.04;682,810573432534;
1969.05;806,820852569364;
1969.06;784,27591792563;
1969.07;772,337291540345;
1969.08;762,956676663337;
1969.09;749,944339937982;
1969.10;738,606995493231;
1969.11;726,80556140546;
1969.12;716,930485842886;
1970.01;700,558732847005;
1970.02;692,104981086522;
1970.03;677,182799769461;
1970.04;670,300860747413;
1970.05;792,283539910457;
1970.06;779,41039524426;
1970.07;764,725851565745;
1970.08;745,986104025021;
1970.09;732,523143332297;
1970.10;723,48378096028;
1970.11;714,664791305234;
1970.12;708,269580644784;
1971.01;694,595222791177;
1971.02;685,867639835829;
1971.03;675,333836493641;
1971.04;666,799710505936;
1971.05;791,247148207801;
1971.06;773,28612660276;
1971.07;759,433469080019;
1971.08;750,175727223361;
1971.09;740,853155079226;
1971.10;730,918342654792;
1971.11;720,157370452627;
1971.12;712,092898219115;
1972.01;695,478262606274;
1972.02;682,53913213918;
1972.03;670,779491676867;
1972.04;664,239858749655;
1972.05;785,418289950039;
1972.06;777,892036658253;
1972.07;768,424790776002;
1972.08;760,455179362802;
1972.09;744,269983993259;
1972.10;735,123069571609;
1972.11;727,825978583226;
1972.12;722,275351482496;
1973.01;712,539351446838;
1973.02;708,762248554853;
1973.03;703,062335637307;
1973.04;695,319832094039;
1973.05;798,518216677304;
1973.06;786,379787750167;
1973.07;773,923199736524;
1973.08;760,756686246197;
1973.09;748,879985211981;
1973.10;745,7049711424;
1973.11;741,721728395224;
1973.12;736,544999414241;
1974.01;727,005838495952;
1974.02;726,205391660284;
1974.03;701,490079208139;
1974.04;661,063439714811;
1974.05;775,811948644128;
1974.06;764,45769507712;
1974.07;748,827185213028;
1974.08;733,823047692638;
1974.09;722,507862376743;
1974.10;707,428879458578;
1974.11;691,913066901506;
1974.12;745,746396488815;
1975.01;723,464668178311;
1975.02;707,572356845897;
1975.03;696,621832275663;
1975.04;681,610179512588;
1975.05;864,098919645637;
1975.06;843,236340451498;
1975.07;824,261208750888;
1975.08;793,206297012738;
1975.09;777,868053700337;
1975.10;761,049284971681;
1975.11;744,942421797677;
1975.12;732,34911687782;
1976.01;708,509477438646;
1976.02;676,183666071192;
1976.03;658,204787002535;
1976.04;638,52207582658;
1976.05;882,49588690832;
1976.06;864,521729467295;
1976.07;842,101560134637;
1976.08;820,918623657985;
1976.09;797,922009062332;
1976.10;775,529881986903;
1976.11;750,871457019115;
1976.12;734,897276423936;
1977.01;705,594006058053;
1977.02;681,028442927677;
1977.03;659,787385122252;
1977.04;635,822129602342;
1977.05;879,72097256717;
1977.06;861,415389305943;
1977.07;840,369401172357;
1977.08;826,779121885105;
1977.09;813,833728536173;
1977.10;792,329991806559;
1977.11;765,804415425378;
1977.12;747,987891209774;
1978.01;721,177256089713;
1978.02;698,822269439188;
1978.03;676,92877094652;
1978.04;659,976900624425;
1978.05;907,506944104919;
1978.06;877,737769612689;
1978.07;831,852751892364;
1978.08;807,364033264527;
1978.09;790,90598594095;
1978.10;769,319469266292;
1978.11;752,725873866425;
1978.12;737,574556304674;
1979.01;696,931579644394;
1979.02;677,530608089836;
1979.03;654,926071865212;
1979.04;633,083471676811;
1979.05;904,492028211879;
1979.06;878,149342994296;
1979.07;833,487167791384;
1979.08;787,910669597123;
1979.09;739,074092453685;
1979.10;703,452524796308;
1979.11;857,312121607458;
1979.12;820,345414554944;
1980.01;769,83148903935;
1980.02;739,167515420602;
1980.03;703,143611377686;
1980.04;670,618454924253;
1980.05;899,105908167689;
1980.06;852,044355957119;
1980.07;807,517504488748;
1980.08;767,989702344868;
1980.09;735,24856866358;
1980.10;670,571623462587;
1980.11;865,960417148007;
1980.12;810,810467459765;
1981.01;763,406696509229;
1981.02;719,833736320309;
1981.03;683,256132837734;
1981.04;641,317691506314;
1981.05;888,783042135726;
1981.06;845,884123574727;
1981.07;796,486204216419;
1981.08;750,521619065803;
1981.09;712,911570236088;
